,heart,sleep,step
2018-05-1 3.5時,83.7,3.0,91.0
2018-05-1 4.0時,75.0,1.3,0.0
2018-05-1 4.25時,75.7,1.0,0.0
2018-05-1 4.5時,73.7,1.7,0.0
2018-05-1 4.75時,73.7,2.0,0.0
2018-05-1 5.0時,77.7,2.0,0.0
2018-05-1 5.25時,76.0,2.3,0.0
2018-05-1 5.5時,85.7,2.7,0.0
2018-05-1 5.75時,79.5,3.0,118.0
2018-05-1 6.0時,77.7,3.0,231.0
2018-05-1 6.25時,88.3,3.0,39.0
2018-05-1 6.75時,87.3,3.0,325.5
2018-05-1 7.0時,103.0,3.0,488.0
2018-05-1 7.25時,104.5,3.0,181.7
2018-05-1 21.5時,82.3,3.0,74.0
2018-05-1 21.75時,80.0,3.0,392.0
2018-05-1 22.0時,80.3,3.0,413.0
2018-05-1 23.0時,82.7,3.0,38.0
2018-05-1 23.25時,83.3,3.0,52.0
2018-05-1 23.5時,86.0,3.0,67.0
2018-05-2 0.25時,74.7,2.3,0.0
2018-05-2 0.5時,73.0,2.0,0.0
2018-05-2 0.75時,70.7,2.3,0.0
2018-05-2 1.0時,70.0,1.7,0.0
2018-05-2 1.25時,64.7,1.0,0.0
2018-05-2 1.5時,65.3,1.7,0.0
2018-05-2 1.75時,67.3,2.0,0.0
2018-05-2 2.0時,62.0,2.0,0.0
2018-05-2 2.25時,69.0,2.0,0.0
2018-05-2 2.5時,59.7,2.0,0.0
2018-05-2 2.75時,63.7,2.0,0.0
2018-05-2 3.0時,64.0,2.0,0.0
2018-05-2 3.25時,60.0,1.3,0.0
2018-05-2 3.5時,64.0,1.0,0.0
2018-05-2 3.75時,65.0,1.3,0.0
2018-05-2 4.0時,57.3,2.0,0.0
2018-05-2 4.25時,62.0,2.0,0.0
2018-05-2 4.5時,63.0,2.0,0.0
2018-05-2 4.75時,59.0,2.0,0.0
2018-05-2 5.0時,59.0,2.0,0.0
2018-05-2 5.25時,63.0,2.0,0.0
2018-05-2 5.5時,60.7,2.0,0.0
2018-05-2 5.75時,68.7,2.3,0.0
2018-05-2 6.0時,80.0,3.0,60.0
2018-05-2 6.25時,83.3,3.0,97.5
2018-05-2 6.75時,88.0,3.0,89.7
2018-05-2 7.0時,84.3,3.0,361.3
2018-05-2 7.25時,85.0,3.0,470.7
2018-05-2 7.5時,86.5,3.0,233.5
2018-05-2 22.0時,86.3,3.0,27.5
2018-05-2 22.5時,84.7,3.0,48.0
2018-05-3 1.5時,70.7,3.0,65.0
2018-05-3 1.75時,68.0,2.3,0.0
2018-05-3 2.0時,67.7,2.0,0.0
2018-05-3 2.25時,69.0,2.0,0.0
2018-05-3 2.5時,68.0,1.7,0.0
2018-05-3 2.75時,69.7,1.0,0.0
2018-05-3 3.0時,72.3,2.0,0.0
2018-05-3 3.25時,71.3,1.0,0.0
2018-05-3 3.5時,70.7,1.7,0.0
2018-05-3 3.75時,68.7,2.0,0.0
2018-05-3 4.0時,71.0,2.0,0.0
2018-05-3 4.25時,67.0,1.3,0.0
2018-05-3 4.5時,62.7,1.0,0.0
2018-05-3 4.75時,73.0,2.0,0.0
2018-05-3 5.0時,61.7,2.0,0.0
2018-05-3 5.25時,66.3,2.0,0.0
2018-05-3 5.5時,71.7,2.3,0.0
2018-05-3 5.75時,58.3,2.3,0.0
2018-05-3 6.0時,56.0,2.0,0.0
2018-05-3 6.25時,57.7,3.0,174.0
2018-05-3 7.25時,76.0,3.0,66.7
2018-05-3 8.0時,77.3,3.0,109.0
2018-05-3 9.0時,112.0,3.0,145.0
2018-05-3 9.25時,90.3,3.0,19.0
2018-05-3 22.0時,82.3,3.0,16.0
2018-05-3 23.25時,72.3,3.0,69.0
2018-05-3 23.75時,71.0,2.0,0.0
2018-05-4 0.0時,74.3,2.0,0.0
2018-05-4 0.25時,73.0,2.3,0.0
2018-05-4 0.5時,72.7,2.0,0.0
2018-05-4 0.75時,73.0,2.0,0.0
2018-05-4 1.0時,74.0,1.0,0.0
2018-05-4 1.25時,75.7,1.0,0.0
2018-05-4 1.5時,75.0,1.3,0.0
2018-05-4 1.75時,70.0,2.3,0.0
2018-05-4 2.0時,67.0,2.0,0.0
2018-05-4 2.25時,67.7,2.0,0.0
2018-05-4 2.5時,67.3,2.0,0.0
2018-05-4 2.75時,67.7,1.7,0.0
2018-05-4 3.0時,64.3,1.0,0.0
2018-05-4 3.25時,65.3,1.7,0.0
2018-05-4 3.5時,64.3,2.3,0.0
2018-05-4 3.75時,59.3,2.0,0.0
2018-05-4 4.0時,61.0,2.0,0.0
2018-05-4 4.25時,61.7,2.0,0.0
2018-05-4 4.5時,70.0,2.0,0.0
2018-05-4 4.75時,65.0,1.0,0.0
2018-05-4 5.0時,67.3,1.0,0.0
2018-05-4 5.25時,61.7,1.7,0.0
2018-05-4 5.5時,59.0,1.0,0.0
2018-05-4 5.75時,65.3,2.3,0.0
2018-05-4 6.0時,61.0,2.0,0.0
2018-05-4 6.25時,60.0,2.0,0.0
2018-05-4 6.5時,60.0,2.0,0.0
2018-05-4 6.75時,65.0,2.0,0.0
2018-05-4 7.0時,67.0,2.0,0.0
2018-05-4 7.25時,68.3,2.0,0.0
2018-05-4 7.5時,70.3,2.0,106.0
2018-05-4 7.75時,76.0,3.0,470.0
2018-05-4 8.75時,101.0,3.0,69.5
2018-05-4 9.0時,84.5,3.0,67.5
2018-05-4 21.5時,114.0,3.0,286.0
2018-05-4 21.75時,71.0,3.0,291.5
2018-05-4 22.25時,93.7,3.0,69.0
2018-05-4 22.75時,89.3,2.0,0.0
2018-05-4 23.0時,85.3,1.7,0.0
2018-05-4 23.25時,86.0,1.0,0.0
2018-05-4 23.5時,86.3,2.0,0.0
2018-05-4 23.75時,91.0,2.3,0.0
2018-05-5 0.0時,81.3,2.0,0.0
2018-05-5 0.25時,79.7,1.0,0.0
2018-05-5 0.5時,83.0,1.0,0.0
2018-05-5 0.75時,79.7,1.3,0.0
2018-05-5 1.0時,77.3,2.0,0.0
2018-05-5 1.25時,83.7,2.0,0.0
2018-05-5 1.5時,77.3,2.0,0.0
2018-05-5 1.75時,77.0,1.0,0.0
2018-05-5 2.0時,74.3,1.0,0.0
2018-05-5 2.25時,70.7,1.7,0.0
2018-05-5 2.5時,68.7,1.0,0.0
2018-05-5 2.75時,72.0,2.0,0.0
2018-05-5 3.0時,71.7,2.0,0.0
2018-05-5 3.25時,73.0,2.0,0.0
2018-05-5 3.5時,72.3,1.0,0.0
2018-05-5 3.75時,73.0,1.3,0.0
2018-05-5 4.0時,70.7,2.0,0.0
2018-05-5 4.25時,67.0,2.0,0.0
2018-05-5 4.5時,69.3,2.0,0.0
2018-05-5 4.75時,82.0,2.0,0.0
2018-05-5 5.0時,66.0,2.0,0.0
2018-05-5 5.25時,69.3,2.0,0.0
2018-05-5 5.5時,77.3,2.0,0.0
2018-05-5 5.75時,65.3,2.0,0.0
2018-05-5 6.0時,68.3,2.3,0.0
2018-05-5 6.25時,64.3,2.3,0.0
2018-05-5 6.5時,85.0,3.0,70.0
2018-05-5 6.75時,81.7,3.0,49.0
2018-05-5 7.5時,78.3,3.0,165.3
2018-05-5 7.75時,89.3,3.0,465.0
2018-05-5 8.0時,84.3,3.0,340.0
2018-05-5 8.25時,86.0,3.0,414.0
2018-05-6 9.0時,81.3,3.0,29.0
2018-05-6 9.25時,77.3,3.0,65.5
2018-05-6 11.25時,85.0,3.0,67.5
2018-05-6 22.25時,87.3,3.0,81.0
2018-05-7 2.0時,72.7,3.0,57.0
2018-05-7 2.5時,67.0,2.0,0.0
2018-05-7 2.75時,65.3,2.0,0.0
2018-05-7 3.0時,73.0,2.0,0.0
2018-05-7 3.25時,67.3,2.0,0.0
2018-05-7 3.5時,65.7,1.3,0.0
2018-05-7 3.75時,68.0,1.0,0.0
2018-05-7 4.0時,70.0,1.7,0.0
2018-05-7 4.25時,61.7,2.0,0.0
2018-05-7 4.5時,60.7,2.0,0.0
2018-05-7 4.75時,67.7,2.0,0.0
2018-05-7 5.0時,62.7,2.0,0.0
2018-05-7 5.25時,69.7,2.3,0.0
2018-05-7 5.5時,83.3,3.0,317.0
2018-05-7 6.0時,93.7,3.0,473.3
2018-05-7 6.25時,96.0,3.0,47.0
2018-05-7 6.5時,84.3,3.0,18.0
2018-05-7 6.75時,89.0,3.0,140.0
2018-05-7 7.0時,82.7,3.0,146.3
2018-05-7 7.25時,86.3,3.0,393.3
2018-05-7 7.5時,96.7,3.0,452.3
2018-05-7 7.75時,80.3,3.0,109.0
2018-05-7 9.75時,79.0,3.0,80.0
2018-05-7 10.0時,86.0,3.0,237.0
2018-05-7 21.5時,90.0,3.0,57.0
2018-05-7 21.75時,78.0,3.0,104.0
2018-05-7 22.0時,89.0,3.0,130.0
2018-05-7 22.75時,83.7,3.0,31.0
2018-05-8 1.0時,74.3,3.0,120.0
2018-05-8 1.5時,70.3,2.0,0.0
2018-05-8 1.75時,67.0,2.0,0.0
2018-05-8 2.0時,68.0,2.0,0.0
2018-05-8 2.25時,69.7,2.3,0.0
2018-05-8 2.5時,67.3,1.7,0.0
2018-05-8 2.75時,69.3,1.0,0.0
2018-05-8 3.0時,68.7,1.0,0.0
2018-05-8 3.25時,69.3,1.0,0.0
2018-05-8 3.5時,68.3,1.7,0.0
2018-05-8 3.75時,64.7,2.0,0.0
2018-05-8 4.0時,66.0,2.0,0.0
2018-05-8 4.25時,58.3,2.0,0.0
2018-05-8 4.5時,58.7,2.0,0.0
2018-05-8 4.75時,57.7,2.0,0.0
2018-05-8 5.0時,59.7,2.0,0.0
2018-05-8 5.25時,65.0,2.3,0.0
2018-05-8 5.5時,77.3,2.0,0.0
2018-05-8 5.75時,67.7,2.0,0.0
2018-05-8 6.0時,87.0,3.0,41.0
2018-05-8 6.25時,94.0,3.0,54.5
2018-05-8 6.5時,72.3,3.0,47.0
2018-05-8 7.0時,91.3,3.0,63.7
2018-05-8 7.5時,94.0,3.0,262.0
2018-05-8 7.75時,107.3,3.0,478.7
2018-05-8 8.0時,80.8,3.0,196.0
2018-05-8 21.5時,80.7,3.0,16.0
2018-05-8 21.75時,84.7,3.0,99.0
2018-05-8 22.25時,84.0,3.0,125.0
2018-05-8 22.5時,76.3,3.0,450.0
2018-05-8 23.0時,94.0,3.0,395.5
2018-05-8 23.25時,99.0,3.0,353.3
2018-05-8 23.5時,99.0,3.0,76.0
2018-05-8 23.75時,96.0,3.0,27.0
2018-05-9 0.0時,76.7,3.0,44.0
2018-05-9 0.25時,87.3,3.0,120.0
2018-05-9 0.5時,89.0,3.0,48.0
2018-05-9 1.0時,86.3,3.0,72.0
2018-05-9 1.75時,76.0,1.7,0.0
2018-05-9 2.0時,75.3,1.0,0.0
2018-05-9 2.25時,75.0,1.3,0.0
2018-05-9 2.5時,78.7,1.0,0.0
2018-05-9 2.75時,75.3,1.0,0.0
2018-05-9 3.0時,78.0,1.0,0.0
2018-05-9 3.25時,78.3,1.3,0.0
2018-05-9 3.5時,82.0,1.0,0.0
2018-05-9 3.75時,82.7,1.0,0.0
2018-05-9 4.0時,82.7,1.3,0.0
2018-05-9 4.25時,75.3,2.0,0.0
2018-05-9 4.5時,77.0,2.0,0.0
2018-05-9 4.75時,77.7,2.0,0.0
2018-05-9 5.0時,76.0,2.3,0.0
2018-05-9 5.25時,78.3,2.0,0.0
2018-05-9 5.5時,80.3,2.0,0.0
2018-05-9 5.75時,80.0,2.0,0.0
2018-05-9 6.0時,96.7,2.0,0.0
2018-05-9 6.25時,91.0,3.0,68.0
2018-05-9 6.5時,95.3,3.0,80.0
2018-05-9 7.0時,89.3,3.0,104.0
2018-05-9 7.5時,105.0,3.0,283.0
2018-05-9 7.75時,101.0,3.0,359.5
2018-05-9 8.0時,91.5,3.0,207.3
2018-05-9 22.0時,80.7,3.0,66.0
2018-05-9 22.25時,85.0,3.0,144.0
2018-05-9 22.75時,78.7,3.0,40.0
2018-05-9 23.25時,86.7,3.0,420.0
2018-05-9 23.5時,66.0,3.0,260.7
2018-05-9 23.75時,88.0,3.0,264.0
2018-05-10 0.25時,78.0,3.0,33.0
2018-05-10 0.5時,84.0,3.0,50.0
2018-05-10 0.75時,83.3,3.0,142.0
2018-05-10 1.0時,79.7,3.0,49.0
2018-05-10 2.0時,70.7,2.7,0.0
2018-05-10 2.25時,70.3,1.3,0.0
2018-05-10 2.5時,68.3,1.3,0.0
2018-05-10 2.75時,67.7,1.0,0.0
2018-05-10 3.0時,75.3,1.3,0.0
2018-05-10 3.25時,67.0,1.0,0.0
2018-05-10 3.5時,67.3,1.3,0.0
2018-05-10 3.75時,68.0,1.0,0.0
2018-05-10 4.0時,68.0,1.0,0.0
2018-05-10 4.25時,67.0,1.7,0.0
2018-05-10 4.5時,71.3,2.3,0.0
2018-05-10 4.75時,72.0,2.3,0.0
2018-05-10 5.0時,68.0,2.0,0.0
2018-05-10 5.25時,64.7,2.0,0.0
2018-05-10 5.5時,68.0,2.0,0.0
2018-05-10 5.75時,69.0,2.0,0.0
2018-05-10 6.0時,80.3,2.0,0.0
2018-05-10 6.25時,89.0,3.0,101.0
2018-05-10 6.5時,79.3,3.0,57.5
2018-05-10 7.0時,77.7,3.0,87.7
2018-05-10 7.25時,64.0,3.0,341.3
2018-05-10 7.5時,85.3,3.0,435.7
2018-05-10 7.75時,82.0,3.0,202.0
2018-05-10 21.5時,91.7,3.0,147.0
2018-05-10 22.75時,88.0,3.0,51.5
2018-05-10 23.0時,91.0,3.0,467.5
2018-05-10 23.25時,72.0,3.0,375.7
2018-05-10 23.5時,76.7,3.0,99.0
2018-05-10 23.75時,94.0,3.0,10.0
2018-05-11 0.0時,85.3,3.0,47.0
2018-05-11 0.25時,81.7,3.0,27.0
2018-05-11 0.75時,81.7,3.0,60.0
2018-05-11 3.75時,63.7,2.0,0.0
2018-05-11 4.0時,64.7,2.0,0.0
2018-05-11 4.25時,65.0,2.0,0.0
2018-05-11 4.5時,65.3,2.0,0.0
2018-05-11 4.75時,65.3,2.0,0.0
2018-05-11 5.0時,69.3,2.0,0.0
2018-05-11 5.25時,68.3,2.0,0.0
2018-05-11 5.5時,66.7,2.0,0.0
2018-05-11 5.75時,67.7,2.7,60.0
2018-05-11 6.25時,78.0,2.7,58.5
2018-05-11 6.5時,82.0,3.0,49.5
2018-05-11 6.75時,84.3,3.0,72.0
2018-05-11 7.0時,97.0,3.0,83.5
2018-05-11 7.25時,96.3,3.0,266.7
2018-05-11 7.5時,82.3,3.0,406.7
2018-05-11 7.75時,106.7,3.0,150.0
2018-05-11 21.5時,74.0,3.0,43.5
2018-05-11 22.25時,97.0,3.0,271.0
2018-05-11 22.5時,90.7,3.0,373.3
2018-05-11 22.75時,82.7,3.0,204.7
2018-05-11 23.25時,79.7,3.0,76.0
2018-05-11 23.75時,84.0,3.0,38.0
2018-05-12 0.25時,84.0,3.0,40.3
2018-05-12 1.25時,83.0,3.0,41.5
2018-05-12 1.5時,76.7,2.3,0.0
2018-05-12 1.75時,73.7,1.0,0.0
2018-05-12 2.0時,73.0,1.0,0.0
2018-05-12 2.25時,71.7,1.3,0.0
2018-05-12 2.5時,73.3,1.0,0.0
2018-05-12 2.75時,75.3,1.3,0.0
2018-05-12 3.0時,69.3,1.0,0.0
2018-05-12 3.25時,71.0,1.0,0.0
2018-05-12 3.5時,69.7,1.0,0.0
2018-05-12 3.75時,70.3,1.0,0.0
2018-05-12 4.0時,70.0,1.3,0.0
2018-05-12 4.25時,80.7,2.0,0.0
2018-05-12 4.5時,68.7,2.0,0.0
