,heart,sleep,step
2018-07-1 0.0時,78.7,2.0,0.0
2018-07-1 0.25時,77.7,1.7,0.0
2018-07-1 0.5時,83.3,1.0,0.0
2018-07-1 0.75時,83.0,1.3,0.0
2018-07-1 1.0時,79.7,2.3,0.0
2018-07-1 1.25時,82.3,2.3,0.0
2018-07-1 1.5時,76.0,2.3,0.0
2018-07-1 1.75時,73.0,2.3,0.0
2018-07-1 2.0時,77.0,2.0,0.0
2018-07-1 2.25時,68.3,2.0,0.0
2018-07-1 2.5時,68.0,2.3,0.0
2018-07-1 2.75時,73.3,1.3,0.0
2018-07-1 3.0時,72.0,1.0,0.0
2018-07-1 3.25時,70.0,1.3,0.0
2018-07-1 3.5時,69.3,2.0,0.0
2018-07-1 3.75時,70.0,2.0,0.0
2018-07-1 4.0時,69.7,2.0,0.0
2018-07-1 4.25時,69.3,2.0,0.0
2018-07-1 4.5時,68.7,2.0,0.0
2018-07-1 4.75時,73.3,1.0,0.0
2018-07-1 5.0時,69.0,1.3,0.0
2018-07-1 5.25時,69.0,1.0,0.0
2018-07-1 5.5時,68.0,1.7,0.0
2018-07-1 5.75時,68.7,2.0,0.0
2018-07-1 6.0時,76.3,2.0,0.0
2018-07-1 6.25時,74.3,2.0,0.0
2018-07-1 6.5時,64.3,1.0,0.0
2018-07-1 6.75時,71.0,1.0,0.0
2018-07-1 7.0時,65.0,1.3,0.0
2018-07-1 7.25時,65.0,2.0,0.0
2018-07-1 7.5時,63.0,1.3,0.0
2018-07-1 7.75時,59.7,1.0,0.0
2018-07-1 8.0時,83.0,3.0,191.0
2018-07-1 8.25時,77.5,3.0,59.5
2018-07-1 8.75時,84.7,3.0,64.0
2018-07-1 9.0時,99.7,3.0,257.0
2018-07-1 9.25時,82.7,3.0,30.0
2018-07-1 9.5時,75.0,3.0,42.0
2018-07-1 9.75時,70.7,3.0,86.0
2018-07-1 21.5時,82.0,3.0,249.0
2018-07-1 22.25時,86.7,3.0,142.0
2018-07-1 23.5時,76.3,3.0,42.0
2018-07-2 0.25時,69.7,2.3,0.0
2018-07-2 0.5時,67.0,1.0,0.0
2018-07-2 0.75時,67.0,2.0,0.0
2018-07-2 1.0時,60.7,1.3,0.0
2018-07-2 1.25時,65.7,1.0,0.0
2018-07-2 1.5時,66.0,1.3,0.0
2018-07-2 1.75時,66.0,1.0,0.0
2018-07-2 2.0時,65.0,1.0,0.0
2018-07-2 2.25時,63.3,1.3,0.0
2018-07-2 2.5時,65.0,1.3,0.0
2018-07-2 2.75時,65.7,2.0,0.0
2018-07-2 3.0時,62.3,1.3,0.0
2018-07-2 3.25時,63.7,1.3,0.0
2018-07-2 3.5時,61.3,1.3,0.0
2018-07-2 3.75時,64.3,1.0,0.0
2018-07-2 4.0時,64.3,1.0,0.0
2018-07-2 4.25時,63.3,1.0,0.0
2018-07-2 4.5時,61.7,2.0,0.0
2018-07-2 4.75時,65.0,2.0,0.0
2018-07-2 5.0時,76.3,3.0,69.0
2018-07-2 5.25時,89.7,3.0,307.0
2018-07-2 6.25時,84.0,3.0,279.0
2018-07-2 6.5時,97.0,3.0,55.7
2018-07-2 6.75時,84.0,3.0,21.0
2018-07-2 7.0時,99.0,3.0,138.0
2018-07-2 7.25時,87.7,3.0,325.0
2018-07-2 7.5時,104.7,3.0,225.0
2018-07-2 7.75時,98.0,3.0,263.3
2018-07-2 21.5時,77.7,3.0,233.5
