,heart,sleep,step
2018-10-1 0.0時,90.7,2.0,0.0
2018-10-1 0.25時,84.7,2.0,0.0
2018-10-1 0.5時,84.7,2.0,0.0
2018-10-1 0.75時,84.3,2.0,0.0
2018-10-1 1.0時,83.3,2.0,0.0
2018-10-1 1.25時,77.7,2.0,0.0
2018-10-1 1.5時,77.7,2.0,0.0
2018-10-1 1.75時,83.7,2.0,0.0
2018-10-1 2.0時,80.0,2.0,0.0
2018-10-1 2.25時,82.0,2.0,0.0
2018-10-1 2.5時,83.0,2.3,0.0
2018-10-1 2.75時,82.0,2.0,0.0
2018-10-1 3.0時,78.0,2.0,0.0
2018-10-1 3.25時,80.3,2.0,0.0
2018-10-1 3.5時,77.3,2.0,0.0
2018-10-1 3.75時,75.7,2.0,0.0
2018-10-1 4.0時,72.7,2.0,0.0
2018-10-1 4.25時,75.0,2.0,0.0
2018-10-1 4.5時,68.7,2.0,0.0
2018-10-1 4.75時,68.3,2.0,0.0
2018-10-1 5.0時,70.3,2.0,0.0
2018-10-1 5.25時,69.3,2.3,0.0
2018-10-1 5.5時,87.0,2.0,0.0
2018-10-1 5.75時,69.3,2.7,0.0
2018-10-1 6.0時,75.3,2.3,0.0
2018-10-1 6.25時,81.0,2.3,0.0
2018-10-1 6.5時,73.3,3.0,156.3
2018-10-1 6.75時,93.7,3.0,99.5
2018-10-1 7.0時,90.0,3.0,35.5
2018-10-1 7.25時,89.0,3.0,163.3
2018-10-1 7.5時,82.0,3.0,248.0
2018-10-1 7.75時,89.7,3.0,242.7
2018-10-1 8.0時,84.7,3.0,218.0
2018-10-1 8.25時,80.3,3.0,132.5
2018-10-1 8.5時,77.5,3.0,10.0
2018-10-1 8.75時,85.7,3.0,50.0
2018-10-1 9.5時,75.0,3.0,164.5
2018-10-1 10.25時,83.7,3.0,33.0
2018-10-1 10.5時,102.7,3.0,269.0
2018-10-1 10.75時,88.0,3.0,32.0
2018-10-1 11.25時,82.7,3.0,77.0
2018-10-1 11.75時,77.7,3.0,331.0
2018-10-1 21.5時,81.7,3.0,23.5
