,heart,sleep,step
2018-09-1 0.0時,92.7,3.0,71.0
2018-09-1 0.25時,82.7,3.0,114.0
2018-09-1 0.5時,77.7,3.0,123.0
2018-09-1 1.5時,88.0,3.0,71.0
2018-09-1 2.0時,76.0,2.3,0.0
2018-09-1 2.25時,80.0,1.0,0.0
2018-09-1 2.5時,73.0,1.7,0.0
2018-09-1 2.75時,69.5,2.0,0.0
2018-09-1 3.0時,72.3,1.7,0.0
2018-09-1 3.25時,73.0,1.0,0.0
2018-09-1 3.5時,71.0,1.0,0.0
2018-09-1 3.75時,74.0,2.0,0.0
2018-09-1 4.0時,70.3,2.0,0.0
2018-09-1 4.25時,69.7,2.0,0.0
2018-09-1 4.5時,71.0,1.0,0.0
2018-09-1 4.75時,80.3,1.7,0.0
2018-09-1 5.0時,76.0,2.0,0.0
2018-09-1 5.25時,69.7,2.0,0.0
2018-09-1 5.5時,72.0,2.0,0.0
2018-09-1 5.75時,71.0,1.7,0.0
2018-09-1 6.0時,75.3,1.0,0.0
2018-09-1 6.25時,79.3,2.0,0.0
2018-09-1 6.5時,74.3,1.7,0.0
2018-09-1 6.75時,74.0,1.0,0.0
2018-09-1 7.0時,76.7,3.0,115.0
2018-09-1 8.0時,92.3,3.0,44.0
2018-09-1 8.25時,92.0,3.0,134.0
2018-09-1 8.5時,98.0,3.0,304.7
2018-09-1 8.75時,97.7,3.0,136.0
2018-09-1 9.0時,95.5,3.0,22.0
2018-09-1 9.25時,84.3,3.0,86.0
2018-09-1 9.5時,78.5,3.0,111.5
2018-09-1 11.25時,81.7,3.0,75.0
2018-09-1 11.5時,77.0,3.0,101.0
2018-09-1 21.5時,83.3,3.0,104.0
2018-09-1 23.75時,58.5,3.0,61.0
2018-09-2 0.0時,58.7,2.7,0.0
2018-09-2 0.25時,61.2,2.0,0.0
2018-09-2 0.5時,61.3,2.0,0.0
2018-09-2 0.75時,55.5,1.7,0.0
2018-09-2 1.0時,56.7,1.0,0.0
2018-09-2 1.25時,59.2,1.3,0.0
2018-09-2 1.5時,57.7,1.3,0.0
2018-09-2 1.75時,56.7,1.3,0.0
2018-09-2 2.0時,60.5,2.0,0.0
2018-09-2 2.25時,67.3,2.0,0.0
2018-09-2 2.5時,57.7,2.0,0.0
2018-09-2 2.75時,68.7,2.0,0.0
2018-09-2 3.0時,63.0,1.7,0.0
2018-09-2 3.25時,54.5,1.0,0.0
2018-09-2 3.5時,54.5,1.7,0.0
2018-09-2 3.75時,54.3,2.0,0.0
2018-09-2 4.0時,56.0,2.0,0.0
2018-09-2 4.25時,59.3,2.0,0.0
2018-09-2 4.5時,60.3,2.0,0.0
2018-09-2 4.75時,56.0,2.3,0.0
2018-09-2 5.0時,68.0,2.0,0.0
2018-09-2 5.25時,61.0,2.0,0.0
2018-09-2 5.5時,59.0,2.0,0.0
2018-09-2 5.75時,56.0,2.0,0.0
2018-09-2 6.0時,55.3,2.0,0.0
