,heart,sleep,step
2018-08-1 0.25時,96.0,3.0,216.0
2018-08-1 0.5時,95.3,3.0,198.0
2018-08-1 0.75時,93.0,2.3,0.0
2018-08-1 1.0時,93.7,1.0,0.0
2018-08-1 1.25時,83.0,1.3,0.0
2018-08-1 1.5時,81.0,1.3,0.0
2018-08-1 1.75時,84.3,1.7,0.0
2018-08-1 2.0時,82.7,1.0,0.0
2018-08-1 2.25時,81.3,1.0,0.0
2018-08-1 2.5時,80.3,1.0,0.0
2018-08-1 2.75時,79.7,1.7,0.0
2018-08-1 3.0時,77.0,2.0,0.0
2018-08-1 3.25時,77.3,2.0,0.0
2018-08-1 3.5時,82.3,2.3,0.0
2018-08-1 3.75時,83.7,1.0,0.0
2018-08-1 4.0時,84.3,1.0,0.0
2018-08-1 4.25時,84.3,1.0,0.0
2018-08-1 4.5時,90.0,2.0,0.0
2018-08-1 4.75時,88.7,2.0,0.0
2018-08-1 5.0時,79.7,2.3,0.0
2018-08-1 5.25時,87.3,3.0,80.0
2018-08-1 5.5時,85.3,2.3,0.0
2018-08-1 5.75時,77.3,2.0,0.0
2018-08-1 6.0時,95.7,2.3,0.0
2018-08-1 6.25時,82.5,3.0,87.0
2018-08-1 6.5時,86.5,3.0,156.0
2018-08-1 6.75時,94.3,3.0,34.0
2018-08-1 7.0時,89.3,3.0,92.0
2018-08-1 7.25時,85.0,3.0,263.7
2018-08-1 7.5時,95.7,3.0,271.7
2018-08-1 7.75時,76.3,3.0,463.3
2018-08-1 8.0時,79.0,3.0,271.0
2018-08-1 8.25時,95.7,3.0,10.0
2018-08-1 8.5時,82.7,3.0,163.0
2018-08-1 8.75時,79.3,3.0,169.5
2018-08-1 9.0時,82.0,3.0,205.0
2018-08-1 9.5時,76.0,3.0,10.0
2018-08-1 9.75時,90.3,3.0,197.0
2018-08-1 10.0時,81.0,3.0,270.7
2018-08-1 10.25時,83.7,3.0,133.5
2018-08-1 10.5時,80.3,3.0,247.0
2018-08-1 21.75時,87.7,3.0,301.0
2018-08-1 22.0時,107.7,3.0,196.3
2018-08-1 22.25時,100.0,3.0,234.7
2018-08-1 22.75時,80.5,3.0,56.0
2018-08-1 23.0時,91.3,3.0,40.0
2018-08-1 23.25時,88.0,3.0,100.7
2018-08-1 23.5時,83.3,3.0,52.7
2018-08-1 23.75時,92.0,3.0,41.0
2018-08-2 1.0時,113.3,3.0,208.0
2018-08-2 1.25時,91.7,3.0,251.0
2018-08-2 1.5時,90.0,2.7,0.0
2018-08-2 1.75時,91.0,2.0,0.0
2018-08-2 2.0時,81.0,2.0,0.0
2018-08-2 2.25時,88.0,1.7,0.0
2018-08-2 2.5時,83.7,1.0,0.0
2018-08-2 2.75時,82.0,1.7,0.0
2018-08-2 3.0時,79.3,1.0,0.0
2018-08-2 3.25時,77.0,1.0,0.0
2018-08-2 3.5時,78.0,1.7,0.0
2018-08-2 3.75時,80.7,2.0,0.0
2018-08-2 4.0時,80.0,2.0,0.0
2018-08-2 4.25時,77.3,1.3,0.0
2018-08-2 4.5時,81.7,1.3,0.0
2018-08-2 4.75時,85.0,2.0,0.0
2018-08-2 5.0時,81.0,2.3,0.0
2018-08-2 5.25時,78.3,2.0,0.0
2018-08-2 5.5時,84.3,2.0,0.0
2018-08-2 5.75時,81.0,2.0,0.0
2018-08-2 6.0時,81.3,2.0,0.0
2018-08-2 6.25時,86.3,2.0,0.0
2018-08-2 6.5時,91.0,2.0,63.0
2018-08-2 6.75時,90.0,3.0,67.0
2018-08-2 7.0時,87.7,3.0,116.0
2018-08-2 7.25時,73.0,3.0,203.0
2018-08-2 7.5時,91.0,3.0,330.0
2018-08-2 7.75時,96.3,3.0,440.7
2018-08-2 8.0時,85.7,3.0,159.0
2018-08-2 21.75時,78.0,3.0,57.0
2018-08-2 22.0時,79.3,3.0,77.7
2018-08-2 22.25時,88.0,3.0,31.0
2018-08-2 22.5時,80.3,3.0,38.0
2018-08-2 22.75時,85.0,3.0,52.3
2018-08-2 23.0時,83.3,3.0,36.5
2018-08-2 23.25時,80.3,3.0,143.0
2018-08-2 23.5時,87.0,3.0,97.0
2018-08-2 23.75時,74.0,3.0,63.0
2018-08-3 0.25時,88.3,3.0,34.0
2018-08-3 0.75時,100.7,3.0,430.0
2018-08-3 1.0時,95.0,3.0,397.0
2018-08-3 1.5時,78.7,3.0,35.0
2018-08-3 1.75時,88.7,3.0,37.5
2018-08-3 2.0時,84.3,3.0,111.5
2018-08-3 2.25時,87.3,3.0,37.0
2018-08-3 2.5時,82.3,3.0,155.0
2018-08-3 2.75時,77.0,2.7,0.0
2018-08-3 3.0時,77.3,2.0,0.0
2018-08-3 3.25時,74.7,2.0,0.0
2018-08-3 3.5時,74.2,1.7,0.0
2018-08-3 3.75時,74.0,1.0,0.0
2018-08-3 4.0時,75.0,2.0,0.0
2018-08-3 4.25時,74.3,2.0,0.0
2018-08-3 4.5時,80.0,2.0,0.0
2018-08-3 4.75時,70.3,2.0,0.0
2018-08-3 5.0時,71.3,1.7,0.0
2018-08-3 5.25時,74.0,1.0,0.0
2018-08-3 5.5時,77.3,2.0,0.0
2018-08-3 5.75時,69.0,2.0,0.0
2018-08-3 6.0時,77.7,2.0,0.0
2018-08-3 6.25時,73.0,2.0,0.0
2018-08-3 6.5時,86.0,3.0,73.5
2018-08-3 6.75時,82.3,3.0,61.3
2018-08-3 7.0時,80.7,3.0,205.0
2018-08-3 7.25時,86.3,3.0,359.7
2018-08-3 7.5時,117.5,3.0,463.0
2018-08-3 7.75時,83.3,3.0,256.3
2018-08-3 8.0時,82.0,3.0,48.0
2018-08-3 8.75時,89.0,3.0,35.0
2018-08-3 9.0時,81.0,3.0,133.0
2018-08-3 9.25時,77.7,3.0,326.0
2018-08-3 9.5時,77.7,3.0,181.0
2018-08-3 10.0時,81.5,3.0,75.0
2018-08-3 10.25時,75.0,3.0,157.0
2018-08-3 11.5時,84.3,3.0,19.5
2018-08-3 11.75時,81.0,3.0,245.7
2018-08-3 21.5時,89.3,3.0,143.0
2018-08-3 22.0時,82.5,3.0,80.5
2018-08-3 22.25時,84.7,3.0,85.0
2018-08-3 22.5時,100.3,3.0,169.3
2018-08-3 22.75時,78.7,3.0,75.0
2018-08-3 23.0時,89.3,3.0,81.0
2018-08-3 23.75時,90.5,3.0,163.0
2018-08-4 0.5時,73.7,3.0,155.5
2018-08-4 1.0時,74.7,2.0,0.0
2018-08-4 1.25時,72.7,2.0,0.0
2018-08-4 1.5時,69.0,2.0,0.0
2018-08-4 1.75時,69.3,2.0,0.0
2018-08-4 2.0時,65.0,2.0,0.0
2018-08-4 2.25時,73.3,2.0,0.0
2018-08-4 2.5時,65.0,2.0,0.0
2018-08-4 2.75時,71.7,1.7,0.0
2018-08-4 3.0時,69.0,1.0,0.0
2018-08-4 3.25時,74.0,1.0,0.0
2018-08-4 3.5時,75.3,1.3,0.0
2018-08-4 3.75時,70.3,2.0,0.0
2018-08-4 4.0時,70.3,2.0,0.0
2018-08-4 4.25時,76.3,2.0,0.0
2018-08-4 4.5時,70.0,2.0,0.0
2018-08-4 4.75時,73.0,2.3,0.0
2018-08-4 5.0時,68.3,3.0,106.5
2018-08-4 5.25時,67.7,3.0,53.0
2018-08-4 6.0時,72.0,2.7,0.0
2018-08-4 6.25時,66.3,2.0,0.0
2018-08-4 6.5時,67.7,2.0,0.0
2018-08-4 6.75時,80.0,2.0,0.0
2018-08-4 7.0時,71.7,2.0,0.0
2018-08-4 7.25時,64.7,2.0,0.0
2018-08-4 7.5時,60.7,1.3,0.0
2018-08-4 7.75時,57.7,1.0,0.0
2018-08-4 8.0時,59.7,1.3,0.0
2018-08-4 8.25時,58.0,2.0,0.0
2018-08-4 8.5時,58.0,2.0,0.0
2018-08-4 9.0時,69.7,3.0,49.0
2018-08-4 9.25時,61.0,3.0,38.0
2018-08-4 9.5時,78.0,3.0,92.0
2018-08-4 9.75時,83.7,3.0,27.0
2018-08-4 10.0時,78.0,3.0,33.7
2018-08-4 10.25時,84.7,3.0,104.0
2018-08-4 10.5時,76.3,3.0,16.0
2018-08-4 10.75時,83.5,3.0,195.0
2018-08-4 21.75時,83.7,3.0,167.0
2018-08-4 22.0時,94.7,3.0,116.0
2018-08-4 23.5時,84.3,3.0,21.0
2018-08-4 23.75時,82.0,3.0,34.0
2018-08-5 0.5時,87.3,3.0,155.0
2018-08-5 0.75時,83.7,3.0,472.0
2018-08-5 1.0時,78.3,2.0,0.0
2018-08-5 1.25時,77.7,1.0,0.0
2018-08-5 1.5時,75.0,1.0,0.0
2018-08-5 1.75時,73.7,1.0,0.0
2018-08-5 2.0時,74.3,1.0,0.0
2018-08-5 2.25時,76.0,1.0,0.0
2018-08-5 2.5時,70.7,1.7,0.0
2018-08-5 2.75時,82.0,2.7,0.0
2018-08-5 3.0時,70.0,1.3,0.0
2018-08-5 3.25時,74.3,1.0,0.0
2018-08-5 3.5時,73.0,1.3,0.0
2018-08-5 3.75時,74.3,1.0,0.0
2018-08-5 4.0時,78.0,1.7,0.0
2018-08-5 4.25時,78.3,1.0,0.0
